ingredient_id,ingredient_name,category,subcategory
108319,jackfruit,fruit,
108570,jaggery,sweetener,
110159,jalapeno,other,
110451,jalapeno bacon,other,
108803,jalapeno pepper,other,
109125,jalapeno ranch,other,
110160,jalapenos,other,
110162,jalapeños,other,
108237,jam,fruit,
110163,jamon,other,
109793,jarlsberg,other,
108182,jasmine,other,
109312,jasmine rice,nuts/seeds/grains,
109448,jelly,stabilizers/emulsifiers,
109135,jerk,other,
109514,jerky,other,
107877,jicama,other,
109565,juice,fruit,
110164,julienne,other,
108858,juniper,other,
108527,kabocha,fruit,
110165,kahlua,other,
110166,kaiser roll,other,
110167,kalamata,other,
109060,kalamata olive,fruit,
108180,kale,fortifier,
108705,karaage,other,
108617,karashi,other,
108934,kasha,nuts/seeds/grains,
109794,kasseri,other,
109795,kefalotyri,other,
108159,kefir,dairy,
109462,ketchup,other,
109105,kettle corn,nuts/seeds/grains,
108615,kewpie,other,
107839,key lime,fruit,
108083,kidney bean,nuts/seeds/grains,
109077,kimchi,other,
111696,kimchi mayo,other,
107970,kiwi,fruit,
108529,kohlrabi,other,
108555,koji,nuts/seeds/grains,
107897,kombu,other,
108154,kombucha,other,
108906,konjac,stabilizers/emulsifiers,
111707,korean bbq,other,
110170,korma sauce,other,
110171,kosher,other,
109045,kosher salt,other,
108773,kumquat,fruit,
109143,kung pao sauce,other,
108985,labneh,dairy,
107868,lacinato kale,vegetable,
107919,lactose,dairy,
108374,lady finger,vegetable,
110172,lager,other,
108071,lamb,fortifier,
108060,langostino,fortifier,
109796,lard,other,
111724,lardon,other,
108771,lassi,dairy,
110173,latte,other,
108169,lavender,other,
109064,leaf lettuce,other,
109069,leek,other,
110175,leeks,other,
108064,leg quarter,fortifier,
109272,lemon,fruit,
109134,lemon butter,fats/oils,
109658,lemon drop,other,
108006,lemon grass,other,
109605,lemon pepper,other,
108639,lemon pepper dressing,other,
109151,lemon vinaigrette,fats/oils,
107833,lemonade,fruit,
110176,lengua,other,
109168,lentil,nuts/seeds/grains,
109384,lettuce,other,
108723,lima bean,nuts/seeds/grains,
109120,lime,fruit,
108481,limeade,fruit,
110177,limone,other,
108951,lingonberry,fruit,
109888,linguine,other,
108899,lion's mane mushroom,other,
107854,little gem,other,
108079,liver,fortifier,
109522,lobster,fortifier,
110178,loin,other,
110179,lomo,other,
108144,london fog,other,
108504,long bean,nuts/seeds/grains,
108844,long pepper,other,
108517,lotus root,nuts/seeds/grains,
109616,low calorie,other,
109623,low fat,fats/oils,
109627,low sodium,other,
110182,lox,other,
111785,lucky charm,other,
108573,lucuma,fruit,
108591,lyche,fruit,
108326,lychee,fruit,
109653,m&m,sweetener,
108598,maca,fortifier,
109234,macadamia,nuts/seeds/grains,
108136,macadamia milk,nuts/seeds/grains,
108391,macaron,sweetener,
109889,macaroni,other,
108164,macchiato,dairy,
108852,mace,other,
108712,macerated,fruit,
110183,macha,other,
110184,machaca,other,
108514,mache,other,
108059,mackerel,other,
109003,madeleine,other,
109798,mafaldine,other,
107888,maggi,other,
110185,mahi,other,
109185,mahi mahi,other,
107856,maitake,other,
108846,makrut lime,fruit,
110187,malbec,other,
108360,malt,nuts/seeds/grains,
108349,malt vinegar,other,
110188,malted,other,
109876,manchego,other,
108610,manchurian,other,
109049,mandarin,fruit,
109318,mandarin orange,fruit,
109052,mango,fruit,
108649,mango dressing,fruit,
111830,mango habanero,other,
110189,mango juice,other,
111832,mango lassi,other,
108034,maple,sweetener,
110452,maple bacon,other,
109684,maple syrup,other,
108611,mapo,other,
109358,maraschino,fruit,
110192,marble,other,
108138,marcona almond,nuts/seeds/grains,
110193,margarita,other,
110194,marinade,other,
110195,marinaded,other,
109461,marinara,other,
110196,marinara sauce,other,
109531,marinated,other,
108243,marjoram,other,
108364,marmalade,fruit,
109130,marsala,other,
109642,marshmallow,sweetener,
110197,martini,other,
110198,marzano,other,
110199,masa,other,
108358,mascarpone,dairy,
110200,mash,other,
109540,mashed,other,
107899,matcha,other,
109449,mayo,fats/oils,
110201,mayonesa,other,
109800,mayonnaise,other,
108890,mct oil,fats/oils,
109040,mead,other,
109460,meat sauce,other,
109494,meatball,other,
110203,meatballs,other,
109506,meatloaf,other,
108483,melon,fruit,
108747,melon seed,nuts/seeds/grains,
111887,melted,other,
111888,melty,other,
110205,meringue,other,
110206,merlot,other,
109058,mesclun,other,
110207,mesquite,other,
108229,mexican chocolate,sweetener,
108158,mexican hot chocolate,other,
110209,mexican soda,other,
110210,meyer,other,
108325,meyer lemon,fruit,
110211,mezcal,other,
108267,micro green,other,
107853,microgreen,other,
109567,milk,other,
109341,milk chocolate,dairy,
110213,milkshake,other,
108722,millet,nuts/seeds/grains,
109665,mimosa,other,
110214,minced,other,
107828,mint,other,
109591,mint chocolate,sweetener,
108008,miso,nuts/seeds/grains,
109590,mixed berry,fruit,
109558,mixed nut,nuts/seeds/grains,
109122,mocha,other,
110217,mojarra,other,
110218,mojito,other,
107986,mojo,other,
111935,mojo sauce,other,
107998,molasses,sweetener,
108010,mole,other,
108435,mole bitters,other,
110219,mole poblano,other,
108684,monkfish,other,
109804,montasio,other,
110221,monterey,other,
109805,monterey jack,other,
108512,morel mushroom,other,
108887,moringa,fortifier,
110222,morita,other,
108628,mostarda,other,
110225,mozzarella,other,
109806,mozzarella di bufala,other,
109082,msg,other,
109807,muenster,other,
111960,muenster cheese,other,
109313,multi grain,grains,
110226,multigrain,other,
110227,multigrain bread,other,
108668,mung bean,nuts/seeds/grains,
108774,mushroom,other,
110454,mushroom bacon,other,
109085,mussel,other,
109450,mustard,other,
107858,mustard greens,other,
108240,mustard seed,nuts/seeds/grains,
110228,naan,other,
111980,nacho cheese,other,
110229,napa,other,
107851,napa cabbage,other,
109144,nashville hot,other,
108558,natto,nuts/seeds/grains,
109551,navy bean,nuts/seeds/grains,
107904,nduja,other,
109600,neapolitan,other,
110230,nectar,other,
109317,nectarine,fruit,
108900,nettle,other,
109195,new york strip,meat,
108162,nitro,other,
109309,no sugar added,sweetener,
108294,non-gmo,other,
110232,noodle,other,
110234,nopal,other,
108519,nopales,other,
109083,nori,other,
108547,nuoc cham,other,
110235,nut,other,
109628,nut free,other,
108345,nutella,nuts/seeds/grains,
108434,nutmeg,nuts/seeds/grains,
108295,nutrient-dense,other,
107893,nutritional yeast,fortifier,
108228,nuttella,nuts/seeds/grains,
110236,oak,other,
107974,oat,nuts/seeds/grains,
108308,oat bran,nuts/seeds/grains,
107954,oat milk,other,
108347,oatmeal,nuts/seeds/grains,
109877,oaxaca,other,
108067,octopus,fortifier,
107875,okra,other,
110237,old fashioned,other,
107941,olive,fats/oils,
108354,olive oil,fats/oils,
109809,olives,other,
109383,onion,other,
108186,oolong,other,
108231,orange,fruit,
109024,orange blossom,other,
108619,orange blossom water,other,
107834,orange cream,dairy,
110239,orange juice,other,
110240,orange marmalade,other,
109477,orange sauce,other,
108647,orange vinaigrette,fats/oils,
109810,orecchiette,other,
109602,oregano,other,
109596,oreo,sweetener,
109630,organic,other,
109328,organic milk,dairy,
109242,organic tea,other,
109811,orzo,other,
108062,oxtail,fortifier,
109079,oyster,other,
107903,oyster sauce,other,
109812,paccheri,other,
110242,padano,other,
109308,paleo,other,
107913,palm sugar,sweetener,
